id,name_kr,name_en
19181108,이재현,Lee Jae-hyeon
194518,조부광,Cho Bu-gwang
19211163,하광호,Ha Gwang-ho
19631111,이재한,Lee Jae-han
1964186,박종준,Park Jong-jun
19571141,엄승용,Eom Seung-yong
19131205,최응섭,Choi Eung-seob
1934131,유상호,Yu Sang-ho
19111185,유상호,Yu Sang-ho
19371154,정종식,Jeong Jong-sig
1906178,이상택,Lee Sang-taeg
19231193,차병렬,Ca Byeong-ryeol
19221156,김기대,Kim Gi-dae
19311105,전달수,Jeon Dal-su
19281155,이한두,Lee Han-du
19391208,민석호,Min Seog-ho
19351163,김우곤,Kim U-gon
19421166,윤정홍,Yoon Jeong-hong
19611122,권현종,Kwon Hyeon-jong
19511105,유상곤,Yu Sang-gon
19621109,김광삼,Kim Gwang-sam
19341153,권태무,Kwon Tae-mu
19581128,이창원,Lee Cang-weon
19381184,최길호,Choi Gil-ho
19151132,박원주,Park Weon-ju
1950182,윤정호,Yoon Jeong-ho
19591128,김희봉,Kim Hyi-bong
19541118,김항술,Kim Hang-sul
19631114,어기구,Eo Gi-gu
19361157,최형우,Choi Hyeong-u
19381185,이상택,Lee Sang-taeg
1907124,이상택,Lee Sang-taeg
19471121,김창기,Kim Cang-gi
19221158,김성택,Kim Seong-taeg
19601159,염경석,Yeom Gyeong-seog
19541117,정운천,Jeong Un-ceon
192713,편복우,Pyeon Bog-u
19201145,박태륜,Park Tae-ryun
192516,윤복영,Yoon Bog-yeong
1925197,김종태,Kim Jong-tae
19111168,김종태,Kim Jong-tae
19281131,김종태,Kim Jong-tae
19271110,김종태,Kim Jong-tae
19561125,백병찬,Baeg Byeong-can
19491120,김종태,Kim Jong-tae
197319,박상준,Park Sang-jun
1968143,신영대,Shin Yeong-dae
19131171,권중돈,Kwon Jung-don
1896144,권중돈,Kwon Jung-don
1964157,신동관,Shin Dong-gwan
19611123,채용묵,Cae Yong-mug
1927193,김동재,Kim Dong-jae
19391209,하종열,Ha Jong-yeol
19531119,황세연,Hwang Se-yeon
19521137,김주성,Kim Ju-seong
1933114,우창규,U Cang-gyu
1972111,정병욱,Jeong Byeong-ug
1919195,신중하,Shin Jung-ha
19151204,장준하,Jang Jun-ha
19441136,박동옥,Park Dong-og
19321120,김욱,Kim Ug
19341154,양인하,Yang In-ha
19261107,정래혁,Jeong Rae-hyeog
